h;neff1;neff2
0,050000;1,461479;1,458936
0,060000;1,461480;1,458937
0,070000;1,461479;1,458934
0,080000;1,461479;1,458935
0,090000;1,461480;1,458936
0,100000;1,461480;1,458936
0,110000;1,461478;1,458932
0,120000;1,461478;1,458933
0,130000;1,461478;1,458931
0,140000;1,461484;1,458938
0,150000;1,461482;1,458937
0,160000;1,461480;1,458936
0,170000;1,461479;1,458934
0,180000;1,461476;1,458932
0,190000;1,461481;1,458936
0,200000;1,461466;1,458917
0,210000;1,461480;1,458935
0,220000;1,461480;1,458930
0,230000;1,461476;1,458926
0,240000;1,461482;1,458937
0,250000;1,461474;1,458926
0,260000;1,461480;1,458931
0,270000;1,461487;1,458945
0,280000;1,461480;1,458935
0,290000;1,461476;1,458920
0,300000;1,461477;1,458933
0,310000;1,461475;1,458923
0,320000;1,461477;1,458925
0,330000;1,461486;1,458938
0,340000;1,461470;1,458917
0,350000;1,461482;1,458939
0,360000;1,461488;1,458939
0,370000;1,461489;1,458945
0,380000;1,461472;1,458921
0,390000;1,461481;1,458938
0,400000;1,461490;1,458948
0,410000;1,461472;1,458923
0,420000;1,461483;1,458931
0,430000;1,461487;1,458945
0,440000;1,461491;1,458947
0,450000;1,461483;1,458937
0,460000;1,461488;1,458938
0,470000;1,461477;1,458934
0,480000;1,461485;1,458938
0,490000;1,461492;1,458939
0,500000;1,461468;1,458919
